번호	시도	군구	일련번호	인구(2005)	인구변화율(70-05)	인구밀도(2005)	노령화율(2005)	소득세할주민세(01-05평균)	개별공시지가 평균지가(2005)	총사업체종사자수(2001)	총사업체종사자수(2005)	총사업체종사자수변화율(01-05)	총사업체종사자수증감폭(01-05)	재정력지수(01-05평균)	지방세징수액(2002)	지방세징수액(2005)	1인당지방세징수액(2005)	지방세징수액증가율(02-05)	지방세징수액증감폭(02-05)	의료병상수(2005)	사설학원강사수(2005)	도로율(2005)	상하수도보급률(2005)
1	서울특별시	종로구	69	156018	-1.628417147	6525.219573	10.39709691	81058919.4	1390291.689	227902	222443	-2.395327816	-5459	84.778	378582633	438953723	2813.481284	15.94660841	60371090	3333	1764	9.633316604	111.1592893
2	서울특별시	중구(서울)	214	128443	-1.736316027	12895.88353	9.841410178	145591496.2	4191184.961	359843	352436	-2.05839769	-7407	149.586	651144750	715762116	5572.605093	9.923656146	64617366	1624	709	20.99762048	104.3346076
3	서울특별시	용산구	215	217708	-0.884064374	9954.641061	10.23594446	45807574.2	2059204.546	123951	111652	-9.922469363	-12299	53.756	249303185	296729522	1362.970226	19.0235584	47426337	1528	537	10.82776863	110.2747717
4	서울특별시	성동구	154	327566	-0.286553189	19440.11869	7.783719914	18321143.8	1419425.148	110897	114087	2.876543099	3190	40.05	192182301	207414541	633.1992362	7.925932784	15232240	1931	855	12.95668843	104.3536264
5	서울특별시	광진구	170	366746	6.895521039	21497.42087	6.180452077	22183307	1364256.29	101076	96456	-4.570817998	-4620	44.09	191373652	181122368	493.8632405	-5.356685151	-10251284	2717	1255	14.23150059	103.385313
6	서울특별시	동대문구	56	373232	-0.438275233	26246.97609	8.547425503	18902896	1853617.78	120228	124505	3.557407592	4277	39.934	222751934	200194618	536.3811731	-10.12665327	-22557316	4082	1173	17.81000703	103.1371908
7	서울특별시	중랑구	216	413760	6.641032734	22365.40541	7.131529172	10743327	843574.3548	83861	78865	-5.957477254	-4996	33.754	190475177	148167060	358.0990429	-22.21187961	-42308117	1978	978	14.10960541	103.546017
8	서울특별시	성북구	188	442426	0.224499498	18014.08795	8.581182681	25933538.6	959357.3331	85483	85261	-0.259700759	-222	45.304	218407442	236306526	534.1153684	8.195272027	17899084	2445	1214	10.59325326	105.2579414
9	서울특별시	강북구	165	339147	0.448336744	14370.63559	8.806756062	10292469.8	531117.052	56422	62613	10.97267024	6191	32.616	143488045	128650005	379.3340498	-10.34095907	-14838040	1652	605	8.254885593	104.4097397
10	서울특별시	도봉구	217	368716	3.299097308	17726.73077	7.585095571	10386968.8	602164.8525	57587	59508	3.335822321	1921	33.386	170697409	147708893	400.6034265	-13.4674077	-22988516	1377	898	9.844096154	103.635047
11	서울특별시	노원구	161	604161	14.87121025	17057.05816	7.193346573	17858635.6	643360.2004	90489	98207	8.529213496	7718	36.186	245125381	234199852	387.6447702	-4.45711862	-10925529	3404	2093	7.747535291	103.066815
12	서울특별시	은평구	190	447611	3.363616401	15066.00471	8.317769567	15327247.6	632255.0548	70697	72411	2.424431023	1714	33.766	188557826	173343000	387.2626008	-8.069050393	-15214826	2577	1338	9.381437227	105.7739868
13	서울특별시	서대문구	218	343593	-0.734624867	19511.24361	9.171473318	21562801	1210894.375	86841	85779	-1.222924655	-1062	36.988	165061640	170506931	496.2468124	3.298943958	5445291	2735	1242	11.84598524	103.5917495
14	서울특별시	마포구	189	373057	-0.008186634	15622.15243	8.174438361	46163454.8	1706229.929	136667	153655	12.43021358	16988	46.676	287998446	293963088	787.9843777	2.071067425	5964642	930	1931	11.86626047	105.3873805
15	서울특별시	양천구	219	474247	79.05504603	27255.57471	5.95472035	27783612	1618102.308	96080	98933	2.9694005	2853	55.514	263224753	278147103	586.5026094	5.669052713	14922350	2041	2662	16.90743103	106.018172
16	서울특별시	강서구(서울)	167	538997	9.754779805	13019.25121	6.586002258	25208901.2	1000509.26	132416	137258	3.656657806	4842	54.348	317235138	308977460	573.2452314	-2.603014928	-8257678	2507	1278	9.126333333	103.4092954
17	서울특별시	구로구	171	406299	2.999161839	20203.82894	6.602950064	17057686.6	1147769.988	120216	143568	19.42503494	23352	43.55	212717108	231957630	570.9037679	9.045122031	19240522	1592	538	11.35998011	104.8043436
18	서울특별시	금천구	220	252446	14.24763531	19389.0937	6.765714286	15166910.8	1017804.202	104232	124704	19.64080129	20472	36.102	149493528	154944544	613.7730208	3.646322401	5451016	853	699	14.47966974	104.5514684
19	서울특별시	영등포구	221	398251	1.236291014	16208.83191	7.63502307	108015922.8	1881459.236	284448	261492	-8.07036787	-22956	92.606	542075907	581226007	1459.446447	7.222254207	39150100	4476	1145	16.64080993	105.7943357
20	서울특별시	동작구	181	409519	0.802467509	25047.03364	7.663304256	21901557	1407877.556	86905	91976	5.835107301	5071	41.992	196453594	202182532	493.7073298	2.916178769	5728938	2022	2177	13.62872171	101.2573287
21	서울특별시	관악구	169	530833	5.310058973	17951.74163	6.52314806	18106089.2	696856.5197	101933	95624	-6.189359677	-6309	36.976	224294709	196359472	369.9081858	-12.45470173	-27935237	1747	2924	8.530233345	101.206029
22	서울특별시	서초구	106	372795	41.29875514	7926.748884	6.279358231	105062954.6	1431790.71	305580	312911	2.39904444	7331	125.49	690979122	818758152	2196.269135	18.49245888	127779030	2565	1956	12.72300872	109.1417535
23	서울특별시	강남구	6	510221	69.35279798	12903.92008	5.715517174	227164454.6	2797214.456	523107	544891	4.164348785	21784	219.098	1322539363	1452228869	2846.274201	9.806097998	129689506	4817	3954	16.13032625	107.3603399
24	서울특별시	송파구	159	579040	24.14729694	17090.90909	5.76310876	55274095	2341296.748	194357	215523	10.89026894	21166	87.256	690960599	692538728	1196.011896	0.228396381	1578129	4431	3577	16.05773613	105.350753
25	서울특별시	강동구	164	445339	11.89238063	18117.94142	5.861458882	21054159.6	1327032.812	102576	98252	-4.215411012	-4324	48.81	276858200	257318271	577.8031365	-7.057738944	-19539929	3363	2487	14.24879577	104.788487
26	부산광역시	중구(부산)	204	52446	-1.600416944	18730.71429	12.27226575	8359461	1615842.045	65880	64003	-2.849119611	-1877	36.9126497	62620530	54828699	1045.431472	-12.44293365	-7791831	847	183	26.17986071	100.3279564
27	부산광역시	서구(부산)	185	133014	-1.264551817	9716.14317	12.2801995	5923169.4	293059.353	40717	42531	4.455141587	1814	18.39744865	49501750	40021869	300.8846362	-19.15059771	-9479881	3348	417	9.145667641	105.4731081
28	부산광역시	동구(부산)	176	103658	-1.645439631	10620.69672	13.15172534	7385981.4	602512.9052	72752	71509	-1.708544095	-1243	24.69357263	76610530	64998228	627.0449748	-15.15757951	-11612302	1790	321	14.80616393	106.8494472
29	부산광역시	영도구	226	158117	-0.420620838	11269.9216	10.99861621	4289390	287803.3872	39841	39086	-1.895032755	-755	18.24028742	42741804	46978499	297.1122586	9.91229804	4236695	796	324	8.467395581	103.7643011
30	부산광역시	부산진구	201	399162	0.01467703	13444.32469	9.095017626	18728187	496088.8092	143316	134623	-6.065617237	-8693	52.6670095	203832799	210216999	526.6458205	3.132076894	6384200	3926	2107	9.760208825	103.2235032
31	부산광역시	동래구	158	261982	4.838533902	15744.11058	8.28976934	11642116	496585.6317	75667	69893	-7.630803389	-5774	38.97084371	122130324	98402894	375.6093701	-19.4279596	-23727430	2663	1084	13.73346334	105.5898879
32	부산광역시	남구(부산)	203	294034	2.206520176	11300.30746	8.589892238	9371957	357062.4758	63018	65676	4.217842521	2658	31.92323634	124831072	110580169	376.0795316	-11.41615046	-14250903	1075	759	9.47696618	96.64579606
